Energy (keV),Optimal_Thickness,Attenuation Coeff
52.25,13.997618424556574,0.3274441738625743
52.5,16.019208335128695,0.3245744850193635
52.75,15.424069719777531,0.32277179513075077
53.0,14.516061731867401,0.32083712173953494
53.25,16.612527017743854,0.3180421054594925
53.5,15.995345683419737,0.31648502808313295
53.75,16.544181590683472,0.31403608162540375
54.0,15.783117220396216,0.31226576033798814
54.25,14.84045390437171,0.3107302062917936
54.5,16.983205178708644,0.3082536991482401
54.75,16.35224415581246,0.3067313851319755
55.0,15.389594182617039,0.304956350930433
55.25,15.792439994767166,0.30313399240769084
55.5,14.952725120954817,0.30145564747210984
55.75,17.116008837928867,0.29918613551791634
56.0,16.480178382922343,0.29748738256750157
56.25,15.510002928401068,0.29616368421413464
56.5,17.750017228118832,0.29397527698594106
56.75,17.090576358470063,0.29262935444591087
57.0,16.08446188068212,0.2911134494364674
57.25,16.505496931279946,0.2894196916616317
57.5,15.627867430271037,0.2880677580629119
57.75,17.888827280134667,0.28605847590207
58.0,17.224287941744706,0.2846029730698724
58.25,16.210307328525044,0.2834933033953687
58.5,18.551462284222993,0.28153672505079663
58.75,17.86224647869778,0.2804261989703203
59.0,16.81070413096836,0.2790874448752152
59.25,17.250749667889192,0.27762832487042866
59.5,16.33349362366992,0.2764916098650621
59.75,18.696539858602108,0.27445261052107306
60.0,18.001995379344127,0.27343241608186786
60.25,16.942231726085325,0.2723572113975261
60.5,19.389094019455346,0.27050602326046097
60.75,18.668758886392133,0.26961977753014
61.0,17.56973751906284,0.2683347361396602
61.25,18.029651899799052,0.26715418652606865
61.5,17.07098010299918,0.2661441039453939
61.75,19.540722106053313,0.2643456519565995
62.0,18.814817700098253,0.2633225145601558
62.25,17.70720382057614,0.2625273566619025
62.5,20.264546327164354,0.2607620657372165
62.75,19.511686773211164,0.260001733876758
63.0,20.18117616909428,0.25872859532418496
63.25,19.252803009714555,0.25781003876982916
63.5,18.102909051856706,0.2569383943359736
63.75,20.71671262484884,0.255299914393832
64.0,19.947044116974475,0.2546012927099467
64.25,20.631470524329718,0.25340969249952694
64.5,19.682382937442597,0.25252157905845607
64.75,18.506831864031724,0.2517770329894478
65.0,21.178956167992762,0.2502540994934608
65.25,20.392114361217764,0.24956044599544877
65.5,19.19163886952521,0.2486815013547281
65.75,19.69400892913461,0.2476742674824358
66.0,18.646840016144143,0.24706983400415847
