Energy,PositionX,PositionY
70.0,-3.8862,-20.1623
66.3655,154.0136,-103.8601
57.2322,40.6338,-199.6234
70.0,-9.9117,-5.5346
60.1245,-191.1626,199.4213
70.0,-4.448,7.5866
60.9342,178.8426,55.2276
70.0,0.3065,-0.4206
70.0,10.2853,0.6976
68.1262,16.938,-112.0328
61.1178,50.7473,199.9234
70.0,5.5833,-9.4106
70.0,-6.8734,-16.436
67.508,98.4964,157.7007
68.2752,-9.2545,129.5507
57.5256,-199.9565,-79.167
60.472,-131.9293,-19.1351
70.0,11.5265,-16.83
60.4423,-196.0567,184.0773
69.8166,40.3826,-4.5014
63.9465,173.8102,-61.2493
70.0,3.3268,-16.7379
64.3667,115.8105,-128.5134
70.0,9.9946,-16.6002
70.0,-1.0364,4.4053
70.0,-3.6718,-6.9934
55.7216,100.8314,45.7472
66.6692,129.619,126.5804
65.0706,199.9536,-45.294
64.7664,199.5587,-111.2493
66.2158,-105.4604,-129.6418
70.0,17.9233,-9.9809
70.0,5.4089,15.9646
70.0,-1.4058,2.3734
66.563,-146.6123,-81.6144
69.2356,28.7486,48.814
63.2008,-106.1529,-27.4869
70.0,3.7023,-16.5569
67.2355,100.1957,-140.8132
69.8253,3.8445,11.081
66.4258,161.352,25.1965
70.0,1.8978,-3.6032
70.0,-1.4034,-14.8188
67.411,12.7381,-11.4309
63.0864,-40.1324,168.7258
70.0,15.6278,10.2578
70.0,10.924,-17.0469
70.0,-6.6511,19.3315
58.8559,-33.4989,159.997
66.5066,-191.0176,-48.2845
68.9694,-69.3165,-58.2175
67.0881,-124.1855,109.0126
70.0,0.5267,-9.0362
70.0,-11.7266,-15.2992
70.0,-3.9943,1.3982
64.1212,157.4654,-2.2321
59.8012,-63.9914,178.5291
70.0,-6.2565,1.3781
67.9021,-130.6937,42.5501
60.904,-199.9542,177.7107
70.0,-17.8062,9.6137
70.0,-2.1457,1.2639
66.8197,-60.6502,151.5464
70.0,-2.1527,19.7174
70.0,1.4874,4.3583
70.0,79.8644,83.3941
67.9841,52.5822,148.5419
70.0,10.8004,-16.6875
67.5769,-151.802,-142.1653
57.2425,-169.3769,-115.4899
70.0,-16.5768,11.4235
65.8455,141.8784,196.5192
57.1079,199.6763,32.1489
70.0,-15.9198,-12.5066
13.2913,-80.3673,58.0937
70.0,-16.1754,-3.9492
